dam_nm,msmt_tm,rsvr_wal_hg,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt
횡성,2024110923,177.6,0,3.845,3.845,72.9492,84
횡성,2024110922,177.6,0,3.904,3.904,72.9492,84
횡성,2024110921,177.6,0,3.903,3.903,72.9492,84
횡성,2024110920,177.6,0,3.875,3.875,72.9492,84
횡성,2024110919,177.6,0,3.932,3.932,72.9492,84
횡성,2024110918,177.6,0,3.904,3.904,72.9492,84
횡성,2024110917,177.6,0,3.93,3.93,72.9492,84
횡성,2024110916,177.6,0,0,3.938,72.9492,84
횡성,2024110915,177.61,0,3.906,3.906,73.0033,84
횡성,2024111905,177.29,0,0,3.892,71.2842,82
횡성,2024111904,177.3,0,3.892,3.892,71.3376,82.1
횡성,2024111903,177.3,0,3.891,3.891,71.3376,82.1
횡성,2024111902,177.3,0,3.894,3.894,71.3376,82.1
횡성,2024111901,177.3,0,3.895,3.895,71.3376,82.1
횡성,2024111824,177.3,0,3.896,3.896,71.3376,82.1
횡성,2024111823,177.3,0,3.895,3.895,71.3376,82.1
횡성,2024111822,177.3,0,0,3.89,71.3376,82.1
횡성,2024111821,177.31,0,3.876,3.876,71.391,82.2
횡성,2024111820,177.31,0,3.891,3.891,71.391,82.2
횡성,2024111819,177.31,0,3.826,3.826,71.391,82.2
횡성,2024111818,177.31,0,3.795,3.795,71.391,82.2
횡성,2024111817,177.31,0,2.331,3.803,71.391,82.2
횡성,2024111816,177.311,0,0,3.891,71.3963,82.2
횡성,2024111815,177.32,0,3.859,3.859,71.4444,82.2
횡성,2024111814,177.32,0,3.844,3.844,71.4444,82.2
횡성,2024111813,177.32,0,3.846,3.846,71.4444,82.2
횡성,2024111812,177.32,0,3.842,3.842,71.4444,82.2
횡성,2024111811,177.32,0,3.796,3.796,71.4444,82.2
횡성,2024111810,177.32,0,0,3.796,71.4444,82.2
횡성,2024111809,177.33,0,3.792,3.792,71.4978,82.3
횡성,2024111808,177.33,0,3.649,3.649,71.4978,82.3
횡성,2024111807,177.33,0,3.661,3.661,71.4978,82.3
횡성,2024111806,177.33,0,3.77,3.77,71.4978,82.3
횡성,2024111805,177.33,0,3.602,3.602,71.4978,82.3
횡성,2024111804,177.33,0,3.597,3.597,71.4978,82.3
횡성,2024111803,177.33,0,0,3.596,71.4978,82.3
횡성,2024111802,177.34,0,3.608,3.608,71.5513,82.3
횡성,2024111801,177.34,0,3.707,3.707,71.5513,82.3
횡성,2024111724,177.34,0,3.797,3.797,71.5513,82.3
횡성,2024111723,177.34,0,3.831,3.831,71.5513,82.3
횡성,2024111722,177.34,0,3.896,3.896,71.5513,82.3
횡성,2024111721,177.34,0,3.895,3.895,71.5513,82.3
횡성,2024111720,177.34,0,0,3.894,71.5513,82.3
횡성,2024111719,177.35,0,3.894,3.894,71.6048,82.4
횡성,2024111718,177.35,0,3.896,3.896,71.6048,82.4
횡성,2024111717,177.35,0,3.895,3.895,71.6048,82.4
횡성,2024111716,177.35,0,3.895,3.895,71.6048,82.4
횡성,2024111715,177.35,0,3.854,3.854,71.6048,82.4
횡성,2024111714,177.35,0,3.799,3.799,71.6048,82.4
횡성,2024111713,177.35,0,3.771,3.771,71.6048,82.4
횡성,2024111712,177.35,0,3.706,3.706,71.6048,82.4
횡성,2024111711,177.35,0,3.759,3.759,71.6048,82.4
횡성,2024111710,177.35,0,0,3.84,71.6048,82.4
횡성,2024111709,177.36,0,3.504,3.504,71.6583,82.5
횡성,2024111708,177.36,0,3.4,3.4,71.6583,82.5
횡성,2024111707,177.36,0,3.692,3.692,71.6583,82.5
횡성,2024111706,177.36,0,3.755,3.755,71.6583,82.5
횡성,2024111705,177.36,0,0,3.756,71.6583,82.5
횡성,2024111704,177.37,0,3.756,3.756,71.7118,82.5
횡성,2024111703,177.37,0,3.751,3.751,71.7118,82.5
횡성,2024111702,177.37,0,3.799,3.799,71.7118,82.5
횡성,2024111701,177.37,0,3.797,3.797,71.7118,82.5
횡성,2024111624,177.37,0,3.799,3.799,71.7118,82.5
횡성,2024111623,177.37,0,3.796,3.796,71.7118,82.5
횡성,2024111622,177.37,0,3.799,3.799,71.7118,82.5
횡성,2024111621,177.37,2,3.8,3.8,71.7118,82.5
횡성,2024111620,177.37,0,0,3.801,71.7118,82.5
횡성,2024111619,177.38,0,3.801,3.801,71.7654,82.6
횡성,2024111618,177.38,0,3.812,3.812,71.7654,82.6
횡성,2024111617,177.38,0,3.845,3.845,71.7654,82.6
횡성,2024111616,177.38,0,3.843,3.843,71.7654,82.6
횡성,2024111615,177.38,0,3.969,3.969,71.7654,82.6
횡성,2024111614,177.38,0,0,3.975,71.7654,82.6
횡성,2024111613,177.39,0,3.921,3.921,71.8189,82.7
횡성,2024111612,177.39,0,3.841,3.841,71.8189,82.7
횡성,2024111611,177.39,0,3.825,3.825,71.8189,82.7
횡성,2024111610,177.39,0,3.76,3.76,71.8189,82.7
횡성,2024111609,177.39,0,3.751,3.751,71.8189,82.7
횡성,2024111608,177.39,0,0,3.845,71.8189,82.7
횡성,2024111607,177.4,0,3.923,3.923,71.8725,82.7
횡성,2024111606,177.4,0,3.721,3.721,71.8725,82.7
횡성,2024111605,177.4,0,3.703,3.703,71.8725,82.7
횡성,2024111604,177.4,0,3.758,3.758,71.8725,82.7
횡성,2024111603,177.4,0,3.689,3.689,71.8725,82.7
횡성,2024111602,177.4,0,3.843,3.843,71.8725,82.7
횡성,2024111601,177.4,0,0,3.844,71.8725,82.7
횡성,2024111524,177.41,0,3.844,3.844,71.9262,82.8
횡성,2024111523,177.41,0,3.843,3.843,71.9262,82.8
횡성,2024111522,177.41,0,3.834,3.834,71.9262,82.8
횡성,2024111521,177.41,0,3.754,3.754,71.9262,82.8
횡성,2024111520,177.41,0,3.789,3.789,71.9262,82.8
횡성,2024111519,177.41,0,0,3.812,71.9262,82.8
횡성,2024111518,177.42,0,3.793,3.793,71.9798,82.8
횡성,2024111517,177.42,0,3.799,3.799,71.9798,82.8
횡성,2024111516,177.42,0,3.897,3.897,71.9798,82.8
횡성,2024111515,177.42,0,3.896,3.896,71.9798,82.8
횡성,2024111514,177.42,0,3.893,3.893,71.9798,82.8
횡성,2024111513,177.42,0,3.896,3.896,71.9798,82.8
횡성,2024111512,177.42,0,3.893,3.893,71.9798,82.8
횡성,2024111511,177.42,0,0,3.895,71.9798,82.8
횡성,2024111510,177.43,0,3.896,3.896,72.0335,82.9
횡성,2024111509,177.43,0,3.895,3.895,72.0335,82.9
횡성,2024111508,177.43,0,3.893,3.893,72.0335,82.9
횡성,2024111507,177.43,0,3.7,3.7,72.0335,82.9
횡성,2024111506,177.43,0,3.61,3.61,72.0335,82.9
횡성,2024111505,177.43,0,3.704,3.704,72.0335,82.9
횡성,2024111504,177.43,0,0,3.708,72.0335,82.9
횡성,2024111503,177.44,0,3.706,3.706,72.0872,83
횡성,2024111502,177.44,0,3.706,3.706,72.0872,83
횡성,2024111501,177.44,0,3.853,3.853,72.0872,83
횡성,2024111424,177.44,0,3.895,3.895,72.0872,83
횡성,2024111423,177.44,0,3.876,3.876,72.0872,83
횡성,2024111422,177.44,0,3.848,3.848,72.0872,83
횡성,2024111421,177.44,0,3.844,3.844,72.0872,83
횡성,2024111420,177.44,0,0,3.842,72.0872,83
횡성,2024111419,177.45,0,3.844,3.844,72.1409,83
횡성,2024111418,177.45,0,3.846,3.846,72.1409,83
횡성,2024111417,177.45,0,3.845,3.845,72.1409,83
횡성,2024111416,177.45,0,3.874,3.874,72.1409,83
횡성,2024111415,177.45,0,3.896,3.896,72.1409,83
횡성,2024111414,177.45,0,3.895,3.895,72.1409,83
횡성,2024111413,177.45,0,0,3.895,72.1409,83
횡성,2024111412,177.46,0,3.892,3.892,72.1946,83.1
횡성,2024111411,177.46,0,3.904,3.904,72.1946,83.1
횡성,2024111410,177.46,0,3.939,3.939,72.1946,83.1
횡성,2024112402,177.1,0,3.391,3.391,70.2743,80.9
횡성,2024112401,177.1,0,3.486,3.486,70.2743,80.9
횡성,2024112324,177.1,0,0,3.593,70.2743,80.9
횡성,2024112323,177.11,0,3.718,3.718,70.3273,80.9
횡성,2024112322,177.11,0,3.918,3.918,70.3273,80.9
횡성,2024112321,177.11,0,3.907,3.907,70.3273,80.9
횡성,2024112320,177.11,0,3.818,3.818,70.3273,80.9
횡성,2024112319,177.11,0,3.807,3.807,70.3273,80.9
횡성,2024112318,177.11,0,0,3.932,70.3273,80.9
횡성,2024112317,177.12,0,3.932,3.932,70.3802,81
횡성,2024112316,177.12,0,3.932,3.932,70.3802,81
횡성,2024112315,177.12,0,3.933,3.933,70.3802,81
횡성,2024112314,177.12,0,3.93,3.93,70.3802,81
횡성,2024112313,177.12,0,0,3.931,70.3802,81
횡성,2024112312,177.128,0,0.831,3.775,70.4226,81
횡성,2024112311,177.13,0,3.696,3.696,70.4332,81.1
횡성,2024112310,177.13,0,3.802,3.802,70.4332,81.1
횡성,2024112309,177.13,0,3.823,3.823,70.4332,81.1
횡성,2024112308,177.13,0,3.679,3.679,70.4332,81.1
횡성,2024112307,177.13,0,3.542,3.542,70.4332,81.1
횡성,2024112306,177.13,0,0,3.566,70.4332,81.1
횡성,2024112305,177.14,0,3.643,3.643,70.4863,81.1
횡성,2024112304,177.14,0,3.715,3.715,70.4863,81.1
횡성,2024112303,177.14,0,3.795,3.795,70.4863,81.1
횡성,2024112302,177.14,0,3.794,3.794,70.4863,81.1
횡성,2024112301,177.14,0,0,3.794,70.4863,81.1
횡성,2024112224,177.145,0,0,3.794,70.5128,81.1
횡성,2024112223,177.15,0,3.84,3.84,70.5393,81.2
횡성,2024112222,177.15,0,3.897,3.897,70.5393,81.2
